	call_a	call_b	dist_score	intense_a	intense_b
51	20170806_VHMM006_01_10_47_883_0_00_198_move	20170806_2_VLF206_00_26_12_430_0_00_189_mo	0.4423588514328003	-42.016602172074116	-27.301357906604203
52	20170806_VHMM006_01_11_24_317_0_00_059_sn	20170806_2_VLF206_00_26_48_790_0_00_055_sn	1.0739949941635132	-51.431217710292856	-29.87649242498851
53	20170806_VHMM006_01_11_40_207_0_00_171_hyb__(move+ld)	20170806_2_VLF206_00_27_04_569_0_00_133_mo	0.078500784933567	-38.54675401723482	-40.05156088203798
54	20170806_VHMM006_01_14_49_206_0_00_334_move_*	20170806_3_VLF206_00_01_33_253_0_00_306_mo	0.7018369436264038	-46.33356342760326	-39.29296705976553
55	20170806_VHMM006_01_42_39_500_0_00_190_cc	20170806_VHMM007_01_42_30_311_0_00_178_cc	0.9272274374961852	-53.96854234824951	-53.975416924058365
56	20170806_VHMM007_01_11_54_912_0_00_054_sn	20170806_2_VLF206_00_27_26_341_0_00_045_sn	0.8124170899391174	-52.54948727452377	-39.26778987923033
57	20170806_VHMM007_01_11_54_912_0_00_054_sn	20170806_2_VLF206_00_27_26_439_0_00_045_sn	1.0684462785720823	-52.54948727452377	-36.274341775647116
58	20170823_VCVM001_01_00_39_664_0_00_136_cc_x	20170823_VHMM007_01_00_25_670_0_00_105_cc	0.5768391489982605	-34.260983681316354	-26.76606293299983
59	20170823_VCVM001_01_12_15_427_0_00_134_al	20170823_VHMM006_01_12_12_614_0_00_153_al	0.5577389597892761	-38.869094391394945	-39.558505701855665
60	20170823_VCVM001_01_13_45_675_0_00_165_al	20170823_VHMM006_01_13_42_736_0_00_197_cc_x	0.8576621413230896	-42.08782180437151	-25.779680295942313
61	20170823_VCVM001_01_22_44_936_0_00_132_cc_x	20170823_VHMM006_01_22_40_712_0_00_140_cc	0.9093876481056212	-32.73684943672842	-37.75644520273255
62	20170823_VCVM001_01_23_07_271_0_00_139_cc	20170823_VHMM006_01_23_03_079_0_00_122_cc_x	0.6488234996795654	-38.64446907423232	-33.23109544330856
63	20170823_VCVM001_01_23_33_285_0_00_168_cc	20170823_VHMF001_01_23_37_665_0_00_134_cc	0.6342471837997437	-52.06173395090492	-32.880364414609474
64	20170823_VCVM001_01_27_47_167_0_00_161_cc	20170823_VHMM006_01_27_42_055_0_00_199_cc	0.7042759656906128	-51.76210114861331	-36.53112406382564
65	20170823_VCVM001_01_49_54_386_0_00_163_cc	20170823_VHMM002_01_49_33_458_0_00_141_cc	0.8677783012390137	-50.29681091810177	-27.545009958570397
66	20170823_VCVM001_01_49_54_386_0_00_163_cc	20170823_2_VLF206_00_49_12_546_0_00_144_cc	0.7493354678153992	-50.29681091810177	-28.546723422973315
67	20170823_VHMF001_01_00_21_706_0_00_118_cc	20170823_VHMM007_01_00_03_325_0_00_150_cc	0.495548278093338	-28.614187475062337	-31.485817696874975
68	20170823_VHMF001_01_01_47_289_0_00_124_cc	20170823_VHMM007_01_01_28_800_0_00_101_cc	0.4546457827091217	-30.09369289029026	-36.17652238625732
69	20170823_VHMF001_01_07_33_698_0_00_120_cc	20170823_VHMM006_01_07_26_525_0_00_121_cc	0.3417956233024597	-32.13586481571658	-29.34453097903456
70	20170823_VHMF001_01_09_54_850_0_00_128_cc	20170823_VHMM007_01_09_35_388_0_00_143_cc	0.3344016075134277	-26.065154627883892	-41.421980468599
71	20170823_VHMF001_01_10_59_741_0_00_097_cc	20170823_VHMM002_01_10_43_259_0_00_095_cc	0.3194434344768524	-31.662144177358694	-32.43976258724285
72	20170823_VHMF001_01_11_58_214_0_00_128_cc	20170823_VHMM006_01_11_50_664_0_00_136_cc_x	0.3895717263221741	-29.202562549754564	-33.79959588582039
73	20170823_VHMF001_01_12_46_221_0_00_134_hyb__[cc+soc]_?	20170823_2_VLF206_00_12_13_308_0_00_129_cc	0.1857479363679886	-30.759085485252346	-32.302265248148444
74	20170823_VHMF001_01_12_51_218_0_00_135_cc	20170823_2_VLF206_00_12_18_286_0_00_152_cc	0.1392999738454818	-28.77980581368019	-33.28920783239879
75	20170823_VHMF001_01_12_51_704_0_00_186_soc	20170823_2_VLF206_00_12_18_774_0_00_192_cc	0.0823726281523704	-31.95624845186201	-34.68233395739036
76	20170823_VHMF001_01_20_27_422_0_00_132_cc_x	20170823_VHMM002_01_20_09_818_0_00_108_cc	0.6044069528579712	-34.647194630147105	-40.73336066834901
77	20170823_VHMF001_01_23_52_907_0_00_112_cc	20170823_VHMM006_01_23_44_257_0_00_128_cc_x	0.6303284168243408	-28.982292882943945	-28.707865719729327
